fuzzer,cve,run,bitmap_cvg,cached,complete,edges_found,fcc_coverage_pct,fuzzing_elapsed_s,fuzzing_loop_time_s,imr,imr_queue_total,imr_reaching,input_tokens_per_hour,llm_input_tokens,llm_output_tokens,llm_prephase_time_s,llm_requests,output_tokens_per_hour,overhead_pct,run_id,session_id,static_analysis_time_s,status,target,target_function,timestamp,total_prep_time_s,total_tokens,total_tokens_per_hour,tte_s,ttr_s,unique_crashes
baseline,CVE-2013-6954,1,9.22,False,True,984,0.75,21558.3,21608.469,0.0,787,787,0.0,0,0,,0,0.0,0.22,1,CVE-2013-6954-png_do_expand_palette-1-1782298433,47.502,ok,libpng_read_fuzzer,png_do_expand_palette,2026-06-24T17:11:07.200901+00:00,47.502,0.0,0.0,3540.849,10.001,2
baseline,CVE-2013-6954,2,9.47,False,True,1011,0.75,21558.3,21608.501,0.0,921,921,0.0,0,0,,0,0.0,0.21,2,CVE-2013-6954-png_do_expand_palette-1-1782298433,46.015,ok,libpng_read_fuzzer,png_do_expand_palette,2026-06-24T17:13:38.515647+00:00,46.015,0.0,0.0,410.049,10.001,4
baseline,CVE-2013-6954,3,9.3,False,True,993,0.75,21556.5,21606.653,0.0,835,835,0.0,0,0,,0,0.0,0.2,3,CVE-2013-6954-png_do_expand_palette-1-1782321068,42.883,ok,libpng_read_fuzzer,png_do_expand_palette,2026-06-24T23:28:40.399358+00:00,42.883,0.0,0.0,4400.974,10.001,7
baseline,CVE-2013-6954,4,9.25,False,True,987,0.75,21557.4,21607.512,0.0,751,751,0.0,0,0,,0,0.0,0.17,4,CVE-2013-6954-png_do_expand_palette-1-1782321219,36.945,ok,libpng_read_fuzzer,png_do_expand_palette,2026-06-24T23:29:39.924526+00:00,36.945,0.0,0.0,2780.45,10.001,5
baseline,CVE-2013-6954,5,9.55,False,True,1019,0.75,21557.9,21607.988,0.0,862,862,0.0,0,0,,0,0.0,0.19,5,CVE-2013-6954-png_do_expand_palette-1-1782343721,41.508,ok,libpng_read_fuzzer,png_do_expand_palette,2026-06-25T05:42:58.780245+00:00,41.508,0.0,0.0,60.005,10.001,3
baseline,CVE-2015-8472,1,9.27,False,True,990,1.0,21556.4,21606.551,0.0,799,799,0.0,0,0,,0,0.0,0.22,1,CVE-2015-8472-png_set_PLTE-1-1782398971,46.782,ok,libpng_read_fuzzer,png_set_PLTE,2026-06-25T21:07:02.651716+00:00,46.782,0.0,0.0,10.001,10.001,5
baseline,CVE-2015-8472,2,9.47,False,True,1011,1.0,21557.4,21607.574,0.0,841,841,0.0,0,0,,0,0.0,0.21,2,CVE-2015-8472-png_set_PLTE-1-1782398971,46.534,ok,libpng_read_fuzzer,png_set_PLTE,2026-06-25T21:07:53.271786+00:00,46.534,0.0,0.0,30.003,10.001,5
baseline,CVE-2015-8472,3,9.26,False,True,989,1.0,21557.8,21607.923,0.0,798,798,0.0,0,0,,0,0.0,0.28,3,CVE-2015-8472-png_set_PLTE-1-1782478886,60.09,ok,libpng_read_fuzzer,png_set_PLTE,2026-06-26T19:20:52.708034+00:00,60.09,0.0,0.0,110.012,10.001,1
baseline,CVE-2015-8472,4,9.26,False,True,989,1.0,21558.2,21608.412,0.0,768,768,0.0,0,0,,0,0.0,0.26,4,CVE-2015-8472-png_set_PLTE-1-1782478886,57.042,ok,libpng_read_fuzzer,png_set_PLTE,2026-06-26T19:20:23.615912+00:00,57.042,0.0,0.0,210.026,10.001,2
baseline,CVE-2015-8472,5,9.2,False,True,982,1.0,21557.6,21607.801,0.0,755,755,0.0,0,0,,0,0.0,0.21,5,CVE-2015-8472-png_set_PLTE-1-1782478280,44.397,ok,libpng_read_fuzzer,png_set_PLTE,2026-06-26T19:08:08.513787+00:00,44.397,0.0,0.0,50.005,10.001,2
