fuzzer,cve,n_runs,metric,mean,median,stdev,min,max
baseline,CVE-2013-6954,5,ttr_s,10.001,10.001,0.0,10.001,10.001
baseline,CVE-2013-6954,5,tte_s,2238.465,2780.45,1920.624,60.005,4400.974
baseline,CVE-2013-6954,5,unique_crashes,4.2,4.0,1.924,2.0,7.0
baseline,CVE-2013-6954,5,edges_found,998.8,993.0,15.401,984.0,1019.0
baseline,CVE-2013-6954,5,bitmap_cvg,9.358,9.3,0.144,9.22,9.55
baseline,CVE-2013-6954,5,total_prep_time_s,42.971,42.883,4.131,36.945,47.502
baseline,CVE-2013-6954,5,fuzzing_loop_time_s,21607.825,21607.988,0.77,21606.653,21608.501
baseline,CVE-2013-6954,5,overhead_pct,0.198,0.2,0.019,0.17,0.22
baseline,CVE-2013-6954,5,llm_requests,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2013-6954,5,llm_input_tokens,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2013-6954,5,llm_output_tokens,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2013-6954,5,total_tokens,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2013-6954,5,input_tokens_per_hour,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2013-6954,5,output_tokens_per_hour,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2013-6954,5,total_tokens_per_hour,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2015-8472,5,ttr_s,10.001,10.001,0.0,10.001,10.001
baseline,CVE-2015-8472,5,tte_s,82.009,50.005,80.757,10.001,210.026
baseline,CVE-2015-8472,5,unique_crashes,3.0,2.0,1.871,1.0,5.0
baseline,CVE-2015-8472,5,edges_found,992.2,989.0,10.986,982.0,1011.0
baseline,CVE-2015-8472,5,bitmap_cvg,9.292,9.26,0.103,9.2,9.47
baseline,CVE-2015-8472,5,total_prep_time_s,50.969,46.782,7.079,44.397,60.09
baseline,CVE-2015-8472,5,fuzzing_loop_time_s,21607.652,21607.801,0.688,21606.551,21608.412
baseline,CVE-2015-8472,5,overhead_pct,0.236,0.22,0.032,0.21,0.28
baseline,CVE-2015-8472,5,llm_requests,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2015-8472,5,llm_input_tokens,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2015-8472,5,llm_output_tokens,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2015-8472,5,total_tokens,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2015-8472,5,input_tokens_per_hour,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2015-8472,5,output_tokens_per_hour,0.0,0.0,0.0,0.0,0.0
baseline,CVE-2015-8472,5,total_tokens_per_hour,0.0,0.0,0.0,0.0,0.0
