fuzzer,cve,run,bitmap_cvg,cached,complete,edges_found,fcc_coverage_pct,fuzzing_elapsed_s,fuzzing_loop_time_s,imr,imr_queue_total,imr_reaching,input_tokens_per_hour,llm_estimated_calls,llm_input_tokens,llm_output_tokens,llm_prephase_time_s,llm_requests,output_tokens_per_hour,overhead_pct,run_id,session_id,static_analysis_time_s,status,target,target_function,timestamp,total_prep_time_s,total_tokens,total_tokens_per_hour,tte_s,ttr_s,unique_crashes
openai,CVE-2013-6954,1,6.83,False,True,728,0.75,21577.3,21607.356,0.0,500,500,7902.98,0,47434,37018,41.887,50,6167.57,36.1,1,CVE-2013-6954-png_do_expand_palette-1-1782056958,12166.95,ok,libpng_read_fuzzer,png_do_expand_palette,2026-06-22T01:27:57.355608+00:00,12208.837,84452.0,14070.54,165.38,,11
openai,CVE-2013-6954,2,6.62,False,True,706,0.75,21581.7,21601.789,0.0,283,283,8769.77,0,52623,41947,51.194,56,6990.59,35.0,2,CVE-2013-6954-png_do_expand_palette-1-1782056958,11581.528,ok,libpng_read_fuzzer,png_do_expand_palette,2026-06-22T01:08:32.695649+00:00,11632.722,94570.0,15760.36,1406.282,,7
openai,CVE-2013-6954,3,6.18,False,True,659,0.75,21590.6,21600.655,0.0,413,413,7858.76,0,47154,42403,43.68,53,7066.95,35.33,3,CVE-2013-6954-png_do_expand_palette-1-1782090514,11759.23,ok,libpng_read_fuzzer,png_do_expand_palette,2026-06-22T10:33:29.967347+00:00,11802.91,89557.0,14925.71,3856.628,,4
openai,CVE-2013-6954,4,7.19,False,True,766,0.75,21589.3,21609.53,0.0,572,572,7664.45,0,46007,41254,40.298,49,6872.63,35.54,4,CVE-2013-6954-png_do_expand_palette-1-1782091679,11871.8,ok,libpng_read_fuzzer,png_do_expand_palette,2026-06-22T11:03:48.033360+00:00,11912.098,87261.0,14537.09,62.743,,8
openai,CVE-2013-6954,5,5.6,True,True,598,0.75,370.3,21601.08,0.0,111,111,0.0,0,0,0,,0,0.0,37.75,5,CVE-2013-6954-png_do_expand_palette-1-1782146025,13101.494,ok,libpng_read_fuzzer,png_do_expand_palette,2026-06-23T02:14:32.815496+00:00,13101.494,0.0,0.0,,10.001,0
openai,CVE-2015-0973,1,5.68,True,True,606,1.0,21590.7,21600.75,0.0,384,384,6278.62,0,37673,37076,,50,6179.12,38.39,1,CVE-2015-0973-png_read_IDAT_data-1-1782146025,13457.422,ok,libpng_read_fuzzer,png_read_IDAT_data,2026-06-23T02:24:46.342360+00:00,13457.422,74749.0,12457.73,,10.001,0
openai,CVE-2015-0973,2,5.26,True,True,561,1.0,490.2,540.202,0.0,86,86,0.0,0,0,0,,0,0.0,10.02,2,CVE-2015-0973-png_read_IDAT_data-1-1782207351,60.174,ok,libpng_read_fuzzer,png_read_IDAT_data,2026-06-23T09:49:01.093933+00:00,60.174,0.0,0.0,,10.001,0
openai,CVE-2015-0973,3,4.95,True,True,528,1.0,370.1,430.205,0.0,80,80,0.0,0,0,0,,0,0.0,12.21,3,CVE-2015-0973-png_read_IDAT_data-1-1782207351,59.845,ok,libpng_read_fuzzer,png_read_IDAT_data,2026-06-23T09:46:59.298869+00:00,59.845,0.0,0.0,,10.001,0
openai,CVE-2019-7317,1,5.07,False,True,540,,250.0,300.072,,,,80920.47,0,6745,4952,58.134,14,59409.66,25.66,1,CVE-2019-7317-png_image_free-1-1782029541,45.455,ok,libpng_read_fuzzer,png_image_free,2026-06-21T08:19:05.443610+00:00,103.589,11697.0,140330.13,,,0
openai,CVE-2019-7317,2,5.09,False,True,543,,250.0,300.055,,,,65292.14,0,5442,4000,37.212,11,47991.28,96.4,2,CVE-2019-7317-png_image_free-1-1782033118,8005.102,ok,libpng_read_fuzzer,png_image_free,2026-06-21T11:31:02.480924+00:00,8042.314,9442.0,113283.42,,,0
