fuzzer,cve,n_runs,metric,mean,median,stdev,min,max
openai,CVE-2013-6954,5,ttr_s,10.001,10.001,,10.001,10.001
openai,CVE-2013-6954,5,tte_s,1372.758,785.831,1764.902,62.743,3856.628
openai,CVE-2013-6954,5,unique_crashes,6.0,7.0,4.183,0.0,11.0
openai,CVE-2013-6954,5,edges_found,691.4,706.0,64.983,598.0,766.0
openai,CVE-2013-6954,5,bitmap_cvg,6.484,6.62,0.615,5.6,7.19
openai,CVE-2013-6954,5,total_prep_time_s,12131.612,11912.098,581.326,11632.722,13101.494
openai,CVE-2013-6954,5,fuzzing_loop_time_s,21604.082,21601.789,4.075,21600.655,21609.53
openai,CVE-2013-6954,5,overhead_pct,35.944,35.54,1.086,35.0,37.75
openai,CVE-2013-6954,5,llm_requests,41.6,50.0,23.416,0.0,56.0
openai,CVE-2013-6954,5,llm_input_tokens,38643.6,47154.0,21752.409,0.0,52623.0
openai,CVE-2013-6954,5,llm_output_tokens,32524.4,41254.0,18307.151,0.0,42403.0
openai,CVE-2013-6954,5,total_tokens,71168.0,87261.0,39956.672,0.0,94570.0
openai,CVE-2013-6954,5,input_tokens_per_hour,6439.192,7858.76,3624.703,0.0,8769.77
openai,CVE-2013-6954,5,output_tokens_per_hour,5419.548,6872.63,3050.598,0.0,7066.95
openai,CVE-2013-6954,5,total_tokens_per_hour,11858.74,14537.09,6658.158,0.0,15760.36
openai,CVE-2013-6954,5,llm_estimated_calls,0.0,0.0,0.0,0.0,0.0
openai,CVE-2015-0973,1,ttr_s,10.001,10.001,,10.001,10.001
openai,CVE-2015-0973,1,unique_crashes,0.0,0.0,,0.0,0.0
openai,CVE-2015-0973,1,edges_found,606.0,606.0,,606.0,606.0
openai,CVE-2015-0973,1,bitmap_cvg,5.68,5.68,,5.68,5.68
openai,CVE-2015-0973,1,total_prep_time_s,13457.422,13457.422,,13457.422,13457.422
openai,CVE-2015-0973,1,fuzzing_loop_time_s,21600.75,21600.75,,21600.75,21600.75
openai,CVE-2015-0973,1,overhead_pct,38.39,38.39,,38.39,38.39
openai,CVE-2015-0973,1,llm_requests,50.0,50.0,,50.0,50.0
openai,CVE-2015-0973,1,llm_input_tokens,37673.0,37673.0,,37673.0,37673.0
openai,CVE-2015-0973,1,llm_output_tokens,37076.0,37076.0,,37076.0,37076.0
openai,CVE-2015-0973,1,total_tokens,74749.0,74749.0,,74749.0,74749.0
openai,CVE-2015-0973,1,input_tokens_per_hour,6278.62,6278.62,,6278.62,6278.62
openai,CVE-2015-0973,1,output_tokens_per_hour,6179.12,6179.12,,6179.12,6179.12
openai,CVE-2015-0973,1,total_tokens_per_hour,12457.73,12457.73,,12457.73,12457.73
openai,CVE-2015-0973,1,llm_estimated_calls,0.0,0.0,,0.0,0.0
openai,CVE-2019-7317,2,unique_crashes,0.0,0.0,0.0,0.0,0.0
openai,CVE-2019-7317,2,edges_found,541.5,541.5,2.121,540.0,543.0
openai,CVE-2019-7317,2,bitmap_cvg,5.08,5.08,0.014,5.07,5.09
openai,CVE-2019-7317,2,total_prep_time_s,4072.952,4072.952,5613.526,103.589,8042.314
openai,CVE-2019-7317,2,fuzzing_loop_time_s,300.063,300.063,0.012,300.055,300.072
openai,CVE-2019-7317,2,overhead_pct,61.03,61.03,50.021,25.66,96.4
openai,CVE-2019-7317,2,llm_requests,12.5,12.5,2.121,11.0,14.0
openai,CVE-2019-7317,2,llm_input_tokens,6093.5,6093.5,921.36,5442.0,6745.0
openai,CVE-2019-7317,2,llm_output_tokens,4476.0,4476.0,673.166,4000.0,4952.0
openai,CVE-2019-7317,2,total_tokens,10569.5,10569.5,1594.526,9442.0,11697.0
openai,CVE-2019-7317,2,input_tokens_per_hour,73106.305,73106.305,11050.898,65292.14,80920.47
openai,CVE-2019-7317,2,output_tokens_per_hour,53700.47,53700.47,8074.014,47991.28,59409.66
openai,CVE-2019-7317,2,total_tokens_per_hour,126806.775,126806.775,19124.912,113283.42,140330.13
openai,CVE-2019-7317,2,llm_estimated_calls,0.0,0.0,0.0,0.0,0.0
